"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Other acute lower respiratory infections"	"J20-J22"	12	3735010	Unreliable
	"< 1 year"	"1"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	44	3735010	1.2
	"< 1 year"	"1"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	11	3735010	Unreliable
	"< 1 year"	"1"	"Other diseases of pleura"	"J90-J94"	13	3735010	Unreliable
	"< 1 year"	"1"	"Other diseases of the respiratory system"	"J96-J98"	76	3735010	2.0
	"< 1 year"	"1"	"Hernia"	"K40-K46"	13	3735010	Unreliable
	"< 1 year"	"1"	"Other diseases of intestines"	"K55-K63"	68	3735010	1.8
	"< 1 year"	"1"	"Diseases of liver"	"K70-K76"	43	3735010	1.2
	"< 1 year"	"1"	"Other diseases of the digestive system"	"K90-K92"	12	3735010	Unreliable
	"< 1 year"	"1"	"Soft tissue disorders"	"M60-M79"	10	3735010	Unreliable
	"< 1 year"	"1"	"Renal failure"	"N17-N19"	42	3735010	1.1
	"< 1 year"	"1"	"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery"	"P00-P04"	2111	3735010	56.5
	"< 1 year"	"1"	"Disorders related to length of gestation and fetal growth"	"P05-P08"	3235	3735010	86.6
	"< 1 year"	"1"	"Respiratory and cardiovascular disorders specific to the perinatal period"	"P20-P29"	2092	3735010	56.0
	"< 1 year"	"1"	"Infections specific to the perinatal period"	"P35-P39"	698	3735010	18.7
	"< 1 year"	"1"	"Haemorrhagic and haematological disorders of newborn"	"P50-P61"	434	3735010	11.6
	"< 1 year"	"1"	"Digestive system disorders of newborn"	"P76-P78"	399	3735010	10.7
	"< 1 year"	"1"	"Conditions involving the integument and temperature regulation of newborn"	"P80-P83"	179	3735010	4.8
	"< 1 year"	"1"	"Other disorders originating in the perinatal period"	"P90-P96"	387	3735010	10.4
	"< 1 year"	"1"	"Congenital malformations of the nervous system"	"Q00-Q07"	590	3735010	15.8
	"< 1 year"	"1"	"Congenital malformations of the circulatory system"	"Q20-Q28"	979	3735010	26.2
	"< 1 year"	"1"	"Congenital malformations of the respiratory system"	"Q30-Q34"	343	3735010	9.2
	"< 1 year"	"1"	"Other congenital malformations of the digestive system"	"Q38-Q45"	54	3735010	1.4
	"< 1 year"	"1"	"Congenital malformations of the urinary system"	"Q60-Q64"	391	3735010	10.5
	"< 1 year"	"1"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	452	3735010	12.1
	"< 1 year"	"1"	"Other congenital malformations"	"Q80-Q89"	466	3735010	12.5
	"< 1 year"	"1"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	762	3735010	20.4
	"< 1 year"	"1"	"General symptoms and signs"	"R50-R68"	25	3735010	0.7
	"< 1 year"	"1"	"Ill-defined and unknown causes of mortality"	"R95-R99"	2453	3735010	65.7
	"< 1 year"	"1"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	35	3735010	0.9
	"< 1 year"	"1"	"Transport accidents"	"V01-V99"	77	3735010	2.1
	"< 1 year"	"1"	"Other external causes of accidental injury"	"W00-X59"	1117	3735010	29.9
	"< 1 year"	"1"	"Assault"	"X85-Y09"	246	3735010	6.6
	"< 1 year"	"1"	"Event of undetermined intent"	"Y10-Y34"	107	3735010	2.9
	"< 1 year"	"1"	"Complications of medical and surgical care"	"Y40-Y84"	11	3735010	Unreliable
"Total"	"< 1 year"	"1"			19582	3735010	524.3
	"1-4 years"	"1-4"	"Other bacterial diseases"	"A30-A49"	53	15566282	0.3
	"1-4 years"	"1-4"	"Other viral diseases"	"B25-B34"	60	15566282	0.4
	"1-4 years"	"1-4"	"Malignant neoplasms"	"C00-C97"	307	15566282	2.0
	"1-4 years"	"1-4"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	35	15566282	0.2
	"1-4 years"	"1-4"	"Other diseases of blood and blood-forming organs"	"D70-D76"	12	15566282	Unreliable
	"1-4 years"	"1-4"	"Certain disorders involving the immune mechanism"	"D80-D89"	13	15566282	Unreliable
	"1-4 years"	"1-4"	"Metabolic disorders"	"E70-E88"	108	15566282	0.7
	"1-4 years"	"1-4"	"Inflammatory diseases of the central nervous system"	"G00-G09"	15	15566282	Unreliable
	"1-4 years"	"1-4"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	13	15566282	Unreliable
	"1-4 years"	"1-4"	"Other degenerative diseases of the nervous system"	"G30-G31"	10	15566282	Unreliable
	"1-4 years"	"1-4"	"Episodic and paroxysmal disorders"	"G40-G47"	46	15566282	0.3
	"1-4 years"	"1-4"	"Diseases of myoneural junction and muscle"	"G70-G72"	16	15566282	Unreliable
	"1-4 years"	"1-4"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	22	15566282	0.1
	"1-4 years"	"1-4"	"Other disorders of the nervous system"	"G90-G98"	53	15566282	0.3
	"1-4 years"	"1-4"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	15	15566282	Unreliable
	"1-4 years"	"1-4"	"Other forms of heart disease"	"I30-I51"	93	15566282	0.6
	"1-4 years"	"1-4"	"Cerebrovascular diseases"	"I60-I69"	55	15566282	0.4
	"1-4 years"	"1-4"	"Influenza and pneumonia"	"J09-J18"	84	15566282	0.5
	"1-4 years"	"1-4"	"Other acute lower respiratory infections"	"J20-J22"	18	15566282	Unreliable
	"1-4 years"	"1-4"	"Chronic lower respiratory diseases"	"J40-J47"	19	15566282	Unreliable
	"1-4 years"	"1-4"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	15	15566282	Unreliable
	"1-4 years"	"1-4"	"Other diseases of the respiratory system"	"J96-J98"	58	15566282	0.4
	"1-4 years"	"1-4"	"Other diseases of intestines"	"K55-K63"	18	15566282	Unreliable
	"1-4 years"	"1-4"	"Respiratory and cardiovascular disorders specific to the perinatal period"	"P20-P29"	29	15566282	0.2
	"1-4 years"	"1-4"	"Other disorders originating in the perinatal period"	"P90-P96"	11	15566282	Unreliable
	"1-4 years"	"1-4"	"Congenital malformations of the nervous system"	"Q00-Q07"	82	15566282	0.5
	"1-4 years"	"1-4"	"Congenital malformations of the circulatory system"	"Q20-Q28"	159	15566282	1.0
	"1-4 years"	"1-4"	"Other congenital malformations of the digestive system"	"Q38-Q45"	13	15566282	Unreliable
	"1-4 years"	"1-4"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	10	15566282	Unreliable
	"1-4 years"	"1-4"	"Other congenital malformations"	"Q80-Q89"	58	15566282	0.4
	"1-4 years"	"1-4"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	47	15566282	0.3
	"1-4 years"	"1-4"	"Ill-defined and unknown causes of mortality"	"R95-R99"	204	15566282	1.3
	"1-4 years"	"1-4"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	19	15566282	Unreliable
	"1-4 years"	"1-4"	"Transport accidents"	"V01-V99"	362	15566282	2.3
	"1-4 years"	"1-4"	"Other external causes of accidental injury"	"W00-X59"	788	15566282	5.1
	"1-4 years"	"1-4"	"Assault"	"X85-Y09"	309	15566282	2.0
	"1-4 years"	"1-4"	"Event of undetermined intent"	"Y10-Y34"	89	15566282	0.6
	"1-4 years"	"1-4"	"Complications of medical and surgical care"	"Y40-Y84"	16	15566282	Unreliable
"Total"	"1-4 years"	"1-4"			3529	15566282	22.7
	"5-14 years"	"5-14"	"Intestinal infectious diseases"	"A00-A09"	12	40992134	Unreliable
	"5-14 years"	"5-14"	"Other bacterial diseases"	"A30-A49"	42	40992134	0.1
	"5-14 years"	"5-14"	"Other viral diseases"	"B25-B34"	32	40992134	0.1
	"5-14 years"	"5-14"	"Malignant neoplasms"	"C00-C97"	792	40992134	1.9
	"5-14 years"	"5-14"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	52	40992134	0.1
	"5-14 years"	"5-14"	"Haemolytic anaemias"	"D55-D59"	14	40992134	Unreliable
	"5-14 years"	"5-14"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	14	40992134	Unreliable
	"5-14 years"	"5-14"	"Other diseases of blood and blood-forming organs"	"D70-D76"	13	40992134	Unreliable
	"5-14 years"	"5-14"	"Diabetes mellitus"	"E10-E14"	56	40992134	0.1
	"5-14 years"	"5-14"	"Metabolic disorders"	"E70-E88"	129	40992134	0.3
	"5-14 years"	"5-14"	"Disorders of psychological development"	"F80-F89"	10	40992134	Unreliable
	"5-14 years"	"5-14"	"Inflammatory diseases of the central nervous system"	"G00-G09"	22	40992134	0.1
	"5-14 years"	"5-14"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	29	40992134	0.1
	"5-14 years"	"5-14"	"Other degenerative diseases of the nervous system"	"G30-G31"	17	40992134	Unreliable
	"5-14 years"	"5-14"	"Episodic and paroxysmal disorders"	"G40-G47"	99	40992134	0.2
	"5-14 years"	"5-14"	"Diseases of myoneural junction and muscle"	"G70-G72"	39	40992134	0.1
	"5-14 years"	"5-14"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	145	40992134	0.4
	"5-14 years"	"5-14"	"Other disorders of the nervous system"	"G90-G98"	73	40992134	0.2
	"5-14 years"	"5-14"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	18	40992134	Unreliable
	"5-14 years"	"5-14"	"Other forms of heart disease"	"I30-I51"	132	40992134	0.3
	"5-14 years"	"5-14"	"Cerebrovascular diseases"	"I60-I69"	76	40992134	0.2
	"5-14 years"	"5-14"	"Influenza and pneumonia"	"J09-J18"	105	40992134	0.3
	"5-14 years"	"5-14"	"Chronic lower respiratory diseases"	"J40-J47"	147	40992134	0.4
	"5-14 years"	"5-14"	"Lung diseases due to external agents"	"J60-J70"	12	40992134	Unreliable
	"5-14 years"	"5-14"	"Other diseases of the respiratory system"	"J96-J98"	46	40992134	0.1
	"5-14 years"	"5-14"	"Other diseases of intestines"	"K55-K63"	35	40992134	0.1
	"5-14 years"	"5-14"	"Diseases of liver"	"K70-K76"	12	40992134	Unreliable
	"5-14 years"	"5-14"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	14	40992134	Unreliable
	"5-14 years"	"5-14"	"Congenital malformations of the nervous system"	"Q00-Q07"	84	40992134	0.2
	"5-14 years"	"5-14"	"Congenital malformations of the circulatory system"	"Q20-Q28"	115	40992134	0.3
	"5-14 years"	"5-14"	"Other congenital malformations"	"Q80-Q89"	69	40992134	0.2
	"5-14 years"	"5-14"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	37	40992134	0.1
	"5-14 years"	"5-14"	"General symptoms and signs"	"R50-R68"	27	40992134	0.1
	"5-14 years"	"5-14"	"Ill-defined and unknown causes of mortality"	"R95-R99"	84	40992134	0.2
	"5-14 years"	"5-14"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	49	40992134	0.1
	"5-14 years"	"5-14"	"Transport accidents"	"V01-V99"	951	40992134	2.3
	"5-14 years"	"5-14"	"Other external causes of accidental injury"	"W00-X59"	604	40992134	1.5
	"5-14 years"	"5-14"	"Intentional self-harm"	"X60-X84"	600	40992134	1.5
	"5-14 years"	"5-14"	"Assault"	"X85-Y09"	447	40992134	1.1
	"5-14 years"	"5-14"	"Event of undetermined intent"	"Y10-Y34"	91	40992134	0.2
	"5-14 years"	"5-14"	"Complications of medical and surgical care"	"Y40-Y84"	20	40992134	0.0
	"5-14 years"	"5-14"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	20	40992134	0.0
"Total"	"5-14 years"	"5-14"			5623	40992134	13.7
	"15-24 years"	"15-24"	"Intestinal infectious diseases"	"A00-A09"	13	42555684	Unreliable
	"15-24 years"	"15-24"	"Other bacterial diseases"	"A30-A49"	125	42555684	0.3
	"15-24 years"	"15-24"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	53	42555684	0.1
	"15-24 years"	"15-24"	"Other viral diseases"	"B25-B34"	31	42555684	0.1
	"15-24 years"	"15-24"	"Mycoses"	"B35-B49"	16	42555684	Unreliable
	"15-24 years"	"15-24"	"Malignant neoplasms"	"C00-C97"	1306	42555684	3.1
	"15-24 years"	"15-24"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	58	42555684	0.1
	"15-24 years"	"15-24"	"Haemolytic anaemias"	"D55-D59"	43	42555684	0.1
	"15-24 years"	"15-24"	"Aplastic and other anaemias"	"D60-D64"	18	42555684	Unreliable
	"15-24 years"	"15-24"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	30	42555684	0.1
	"15-24 years"	"15-24"	"Other diseases of blood and blood-forming organs"	"D70-D76"	28	42555684	0.1
	"15-24 years"	"15-24"	"Certain disorders involving the immune mechanism"	"D80-D89"	19	42555684	Unreliable
	"15-24 years"	"15-24"	"Disorders of thyroid gland"	"E00-E07"	18	42555684	Unreliable
	"15-24 years"	"15-24"	"Diabetes mellitus"	"E10-E14"	312	42555684	0.7
	"15-24 years"	"15-24"	"Disorders of other endocrine glands"	"E20-E34"	19	42555684	Unreliable
	"15-24 years"	"15-24"	"Malnutrition"	"E40-E46"	14	42555684	Unreliable
	"15-24 years"	"15-24"	"Obesity and other hyperalimentation"	"E65-E68"	99	42555684	0.2
	"15-24 years"	"15-24"	"Metabolic disorders"	"E70-E88"	150	42555684	0.4
	"15-24 years"	"15-24"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	162	42555684	0.4
	"15-24 years"	"15-24"	"Disorders of psychological development"	"F80-F89"	26	42555684	0.1
	"15-24 years"	"15-24"	"Inflammatory diseases of the central nervous system"	"G00-G09"	36	42555684	0.1
	"15-24 years"	"15-24"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	34	42555684	0.1
	"15-24 years"	"15-24"	"Other degenerative diseases of the nervous system"	"G30-G31"	11	42555684	Unreliable
	"15-24 years"	"15-24"	"Episodic and paroxysmal disorders"	"G40-G47"	286	42555684	0.7
	"15-24 years"	"15-24"	"Diseases of myoneural junction and muscle"	"G70-G72"	133	42555684	0.3
	"15-24 years"	"15-24"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	297	42555684	0.7
	"15-24 years"	"15-24"	"Other disorders of the nervous system"	"G90-G98"	142	42555684	0.3
	"15-24 years"	"15-24"	"Chronic rheumatic heart diseases"	"I05-I09"	10	42555684	Unreliable
	"15-24 years"	"15-24"	"Hypertensive diseases"	"I10-I15"	78	42555684	0.2
	"15-24 years"	"15-24"	"Ischaemic heart diseases"	"I20-I25"	86	42555684	0.2
	"15-24 years"	"15-24"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	131	42555684	0.3
	"15-24 years"	"15-24"	"Other forms of heart disease"	"I30-I51"	588	42555684	1.4
	"15-24 years"	"15-24"	"Cerebrovascular diseases"	"I60-I69"	188	42555684	0.4
	"15-24 years"	"15-24"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	54	42555684	0.1
	"15-24 years"	"15-24"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	71	42555684	0.2
	"15-24 years"	"15-24"	"Influenza and pneumonia"	"J09-J18"	185	42555684	0.4
	"15-24 years"	"15-24"	"Other diseases of upper respiratory tract"	"J30-J39"	10	42555684	Unreliable
	"15-24 years"	"15-24"	"Chronic lower respiratory diseases"	"J40-J47"	220	42555684	0.5
	"15-24 years"	"15-24"	"Lung diseases due to external agents"	"J60-J70"	41	42555684	0.1
	"15-24 years"	"15-24"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	28	42555684	0.1
	"15-24 years"	"15-24"	"Other diseases of the respiratory system"	"J96-J98"	70	42555684	0.2
	"15-24 years"	"15-24"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	12	42555684	Unreliable
	"15-24 years"	"15-24"	"Other diseases of intestines"	"K55-K63"	72	42555684	0.2
	"15-24 years"	"15-24"	"Diseases of liver"	"K70-K76"	102	42555684	0.2
	"15-24 years"	"15-24"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	55	42555684	0.1
	"15-24 years"	"15-24"	"Other diseases of the digestive system"	"K90-K92"	12	42555684	Unreliable
	"15-24 years"	"15-24"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	10	42555684	Unreliable
	"15-24 years"	"15-24"	"Systemic connective tissue disorders"	"M30-M35"	84	42555684	0.2
	"15-24 years"	"15-24"	"Dorsopathies"	"M40-M54"	10	42555684	Unreliable
	"15-24 years"	"15-24"	"Soft tissue disorders"	"M60-M79"	10	42555684	Unreliable
	"15-24 years"	"15-24"	"Renal failure"	"N17-N19"	62	42555684	0.1
	"15-24 years"	"15-24"	"Other disorders of kidney and ureter"	"N25-N28"	14	42555684	Unreliable
	"15-24 years"	"15-24"	"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"	"O10-O16"	11	42555684	Unreliable
	"15-24 years"	"15-24"	"Other maternal disorders predominantly related to pregnancy"	"O20-O29"	34	42555684	0.1
	"15-24 years"	"15-24"	"Complications predominantly related to the puerperium"	"O85-O92"	10	42555684	Unreliable
	"15-24 years"	"15-24"	"Other obstetric conditions, not elsewhere classified"	"O95-O99"	115	42555684	0.3
	"15-24 years"	"15-24"	"Congenital malformations of the nervous system"	"Q00-Q07"	86	42555684	0.2
	"15-24 years"	"15-24"	"Congenital malformations of the circulatory system"	"Q20-Q28"	135	42555684	0.3
	"15-24 years"	"15-24"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	11	42555684	Unreliable
	"15-24 years"	"15-24"	"Other congenital malformations"	"Q80-Q89"	78	42555684	0.2
	"15-24 years"	"15-24"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	56	42555684	0.1
	"15-24 years"	"15-24"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	11	42555684	Unreliable
	"15-24 years"	"15-24"	"General symptoms and signs"	"R50-R68"	130	42555684	0.3
	"15-24 years"	"15-24"	"Ill-defined and unknown causes of mortality"	"R95-R99"	465	42555684	1.1
	"15-24 years"	"15-24"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	505	42555684	1.2
	"15-24 years"	"15-24"	"Transport accidents"	"V01-V99"	7120	42555684	16.7
	"15-24 years"	"15-24"	"Other external causes of accidental injury"	"W00-X59"	7947	42555684	18.7
	"15-24 years"	"15-24"	"Intentional self-harm"	"X60-X84"	6058	42555684	14.2
	"15-24 years"	"15-24"	"Assault"	"X85-Y09"	6451	42555684	15.2
	"15-24 years"	"15-24"	"Event of undetermined intent"	"Y10-Y34"	451	42555684	1.1
	"15-24 years"	"15-24"	"Legal intervention and operations of war"	"Y35-Y36"	117	42555684	0.3
	"15-24 years"	"15-24"	"Complications of medical and surgical care"	"Y40-Y84"	56	42555684	0.1
	"15-24 years"	"15-24"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	74	42555684	0.2
"Total"	"15-24 years"	"15-24"			35816	42555684	84.2
	"25-34 years"	"25-34"	"Intestinal infectious diseases"	"A00-A09"	36	46069646	0.1
	"25-34 years"	"25-34"	"Tuberculosis"	"A16-A19"	24	46069646	0.1
	"25-34 years"	"25-34"	"Other bacterial diseases"	"A30-A49"	449	46069646	1.0
	"25-34 years"	"25-34"	"Viral infections of the central nervous system"	"A80-A89"	10	46069646	Unreliable
	"25-34 years"	"25-34"	"Viral hepatitis"	"B15-B19"	42	46069646	0.1
	"25-34 years"	"25-34"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	468	46069646	1.0
	"25-34 years"	"25-34"	"Other viral diseases"	"B25-B34"	38	46069646	0.1
	"25-34 years"	"25-34"	"Mycoses"	"B35-B49"	55	46069646	0.1
	"25-34 years"	"25-34"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	11	46069646	Unreliable
	"25-34 years"	"25-34"	"Other infectious diseases"	"B99-B99"	11	46069646	Unreliable
	"25-34 years"	"25-34"	"Malignant neoplasms"	"C00-C97"	3573	46069646	7.8
	"25-34 years"	"25-34"	"Benign neoplasms"	"D10-D36"	28	46069646	0.1
	"25-34 years"	"25-34"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	103	46069646	0.2
	"25-34 years"	"25-34"	"Haemolytic anaemias"	"D55-D59"	121	46069646	0.3
	"25-34 years"	"25-34"	"Aplastic and other anaemias"	"D60-D64"	29	46069646	0.1
	"25-34 years"	"25-34"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	76	46069646	0.2
	"25-34 years"	"25-34"	"Other diseases of blood and blood-forming organs"	"D70-D76"	52	46069646	0.1
	"25-34 years"	"25-34"	"Certain disorders involving the immune mechanism"	"D80-D89"	46	46069646	0.1
	"25-34 years"	"25-34"	"Disorders of thyroid gland"	"E00-E07"	37	46069646	0.1
	"25-34 years"	"25-34"	"Diabetes mellitus"	"E10-E14"	1168	46069646	2.5
	"25-34 years"	"25-34"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	10	46069646	Unreliable
	"25-34 years"	"25-34"	"Disorders of other endocrine glands"	"E20-E34"	19	46069646	Unreliable
	"25-34 years"	"25-34"	"Malnutrition"	"E40-E46"	37	46069646	0.1
	"25-34 years"	"25-34"	"Obesity and other hyperalimentation"	"E65-E68"	561	46069646	1.2
	"25-34 years"	"25-34"	"Metabolic disorders"	"E70-E88"	271	46069646	0.6
	"25-34 years"	"25-34"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	1575	46069646	3.4
	"25-34 years"	"25-34"	"Schizophrenia, schizotypal and delusional disorders"	"F20-F29"	16	46069646	Unreliable
	"25-34 years"	"25-34"	"Behavioural syndromes associated with physiological disturbances and physical factors"	"F50-F59"	17	46069646	Unreliable
	"25-34 years"	"25-34"	"Disorders of psychological development"	"F80-F89"	26	46069646	0.1
	"25-34 years"	"25-34"	"Inflammatory diseases of the central nervous system"	"G00-G09"	66	46069646	0.1
	"25-34 years"	"25-34"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	80	46069646	0.2
	"25-34 years"	"25-34"	"Other degenerative diseases of the nervous system"	"G30-G31"	18	46069646	Unreliable
	"25-34 years"	"25-34"	"Demyelinating diseases of the central nervous system"	"G35-G37"	42	46069646	0.1
	"25-34 years"	"25-34"	"Episodic and paroxysmal disorders"	"G40-G47"	404	46069646	0.9
	"25-34 years"	"25-34"	"Polyneuropathies and other disorders of the peripheral nervous system"	"G60-G64"	11	46069646	Unreliable
	"25-34 years"	"25-34"	"Diseases of myoneural junction and muscle"	"G70-G72"	169	46069646	0.4
	"25-34 years"	"25-34"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	343	46069646	0.7
	"25-34 years"	"25-34"	"Other disorders of the nervous system"	"G90-G98"	349	46069646	0.8
	"25-34 years"	"25-34"	"Chronic rheumatic heart diseases"	"I05-I09"	84	46069646	0.2
	"25-34 years"	"25-34"	"Hypertensive diseases"	"I10-I15"	795	46069646	1.7
	"25-34 years"	"25-34"	"Ischaemic heart diseases"	"I20-I25"	997	46069646	2.2
	"25-34 years"	"25-34"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	418	46069646	0.9
	"25-34 years"	"25-34"	"Other forms of heart disease"	"I30-I51"	1838	46069646	4.0
	"25-34 years"	"25-34"	"Cerebrovascular diseases"	"I60-I69"	600	46069646	1.3
	"25-34 years"	"25-34"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	189	46069646	0.4
	"25-34 years"	"25-34"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	244	46069646	0.5
	"25-34 years"	"25-34"	"Influenza and pneumonia"	"J09-J18"	578	46069646	1.3
	"25-34 years"	"25-34"	"Other diseases of upper respiratory tract"	"J30-J39"	12	46069646	Unreliable
	"25-34 years"	"25-34"	"Chronic lower respiratory diseases"	"J40-J47"	400	46069646	0.9
	"25-34 years"	"25-34"	"Lung diseases due to external agents"	"J60-J70"	120	46069646	0.3
	"25-34 years"	"25-34"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	93	46069646	0.2
	"25-34 years"	"25-34"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	24	46069646	0.1
	"25-34 years"	"25-34"	"Other diseases of pleura"	"J90-J94"	12	46069646	Unreliable
	"25-34 years"	"25-34"	"Other diseases of the respiratory system"	"J96-J98"	138	46069646	0.3
	"25-34 years"	"25-34"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	87	46069646	0.2
	"25-34 years"	"25-34"	"Hernia"	"K40-K46"	11	46069646	Unreliable
	"25-34 years"	"25-34"	"Noninfective enteritis and colitis"	"K50-K52"	29	46069646	0.1
	"25-34 years"	"25-34"	"Other diseases of intestines"	"K55-K63"	142	46069646	0.3
	"25-34 years"	"25-34"	"Diseases of peritoneum"	"K65-K66"	47	46069646	0.1
	"25-34 years"	"25-34"	"Diseases of liver"	"K70-K76"	1944	46069646	4.2
	"25-34 years"	"25-34"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	304	46069646	0.7
	"25-34 years"	"25-34"	"Other diseases of the digestive system"	"K90-K92"	60	46069646	0.1
